"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"테슬라 모델 3 전기 롱 레인지",3578,14더8150,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010000/AT175677160366684_M.jpg,39114,3500,"테슬라 모델 3 전기 롱 레인지",기타,2022,"오토허브 경매장",,AB
"기아 모하비 (07년~현재) 4WD 가솔린 460 최고급형",3579,152오5430,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010253/AT175672588325634_M.jpg,254284,400,"기아 모하비 (07년~현재) 4WD 가솔린 460 최고급형",검정,2009,"오토허브 경매장",,BB
"기아 봉고3 1톤 내장탑 표준캡 CRDI",3580,846나9361,수동,영업용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010308/AT175677134078281_M.jpg,340757,390,"기아 봉고3 1톤 내장탑 표준캡 CRDI",흰색,2014,"오토허브 경매장",,AB
"BMW 5시리즈 (G30) 가솔린 2WD 520i 럭셔리",3581,13너6951,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010196/AT17567140302717w_M.jpg,117531,1600,"BMW 5시리즈 (G30) 가솔린 2WD 520i 럭셔리",기타,2018,"오토허브 경매장",,CB
"현대 포터2 1톤 내장탑 슈퍼캡 CRDI",3582,806가3470,오토,영업용,image,133850,580,"현대 포터2 1톤 내장탑 슈퍼캡 CRDI",흰색,2018,"오토허브 경매장",,BF
"르노삼성 QM6(17년~현재) 디젤 2WD RE 시그니처",3583,65머2593,오토,자가용,image,155814,320,"르노삼성 QM6(17년~현재) 디젤 2WD RE 시그니처",기타,2017,"오토허브 경매장",,CB
"현대 쏘나타 더 브릴리언트 (12년~16년) CVVL 프리미엄",3584,56조4956,오토,자가용,image,257472,300,"현대 쏘나타 더 브릴리언트 (12년~16년) CVVL 프리미엄",기타,2014,"오토허브 경매장",,CF
"기아 더 뉴 레이 가솔린 1000cc 시그니처",3585,107너8469,오토,자가용,image,97592,930,"기아 더 뉴 레이 가솔린 1000cc 시그니처",기타,2022,"오토허브 경매장",,BB
"기아 New 스포티지 (04년~10년) 디젤(VGT) 2WD TLX 최고급형",3586,03머8637,오토,자가용,image,295548,130,"기아 New 스포티지 (04년~10년) 디젤(VGT) 2WD TLX 최고급형",흰색,2007,"오토허브 경매장",,DD
"기아 더 뉴 K3 2세대(21년~현재) 1.6 가솔린 시그니처",3587,236나5521,오토,자가용,image,21683,1950,"기아 더 뉴 K3 2세대(21년~현재) 1.6 가솔린 시그니처",흰색,2024,"오토허브 경매장",,AA
"기아 스포티지R (10년~13년) 디젤 2WD TLX 최고급형",3556,53루5169,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508290219/AT1756712740474g8_M.jpg,280391,340,"기아 스포티지R (10년~13년) 디젤 2WD TLX 최고급형",은색,2011,"오토허브 경매장",,CF
"렉서스 ES350 XV40 (06년~12년)",3557,56마5245,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010291/AT17567242180058j_M.jpg,116110,490,"렉서스 ES350 XV40 (06년~12년)",은색,2009,"오토허브 경매장",,BC
"기아 더 뉴 카니발(18년~현재) 디젤 7인승 리무진 VIP",3558,42더6790,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010260/AT17567257912257o_M.jpg,63193,1650,"기아 더 뉴 카니발(18년~현재) 디젤 7인승 리무진 VIP",흰색,2019,"오토허브 경매장",,BC
"르노삼성 뉴 SM3 (09년~14년) SE 기본형",3559,41거6027,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508290194/AT175677379218252_M.jpg,94287,80,"르노삼성 뉴 SM3 (09년~14년) SE 기본형",기타,2011,"오토허브 경매장",,BC
"현대 포터2 1톤 슈퍼캡 일렉트릭(EV) 카고 프리미엄 스페셜",3560,92버4781,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508290038/AT17566921028832j_M.jpg,37844,1550,"현대 포터2 1톤 슈퍼캡 일렉트릭(EV) 카고 프리미엄 스페셜",흰색,2022,"오토허브 경매장",,AB
"쌍용 더 뉴 렉스턴 스포츠(21년~현재) 디젤 2.2 4WD 프레스티지",3561,84도7640,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010282/AT1756720379301k9_M.jpg,80293,1800,"쌍용 더 뉴 렉스턴 스포츠(21년~현재) 디젤 2.2 4WD 프레스티지",기타,2021,"오토허브 경매장",,BB
"기아 더 뉴 봉고3 1톤 카고(화물)트럭 킹캡",3562,988가4982,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010139/AT175671020918586_M.jpg,85413,1820,"기아 더 뉴 봉고3 1톤 카고(화물)트럭 킹캡",흰색,2022,"오토허브 경매장",,AB
"아우디 NEW A6 40 TFSI 프리미엄 Milano",3563,33오5411,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508280002/AT1756724548064l6_M.jpg,114311,1230,"아우디 NEW A6 40 TFSI 프리미엄 Milano",검정,2018,"오토허브 경매장",,BC
"기아 카니발 R (10년~14년) 그랜드 카니발 GLX 프리미엄",3564,77어8732,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508280186/AT175677124985018_M.jpg,189378,230,"기아 카니발 R (10년~14년) 그랜드 카니발 GLX 프리미엄",흰색,2014,"오토허브 경매장",,BB
"기아 스포티지 더 볼드(18년~21년) 가솔린 2.0 2WD 프레스티지",3565,320부5961,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508220148/AT175608400481675_M.jpg,120311,1510,"기아 스포티지 더 볼드(18년~21년) 가솔린 2.0 2WD 프레스티지",흰색,2020,"오토허브 경매장",,BB
"기아 더 뉴 스포티지R (13년~15년) 디젤 2WD 트렌디",3566,28너4234,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508290073/AT1756441463375lm_M.jpg,169407,420,"기아 더 뉴 스포티지R (13년~15년) 디젤 2WD 트렌디",기타,2014,"오토허브 경매장",,CC
"미니 쿠퍼 S 기본형 2세대 (07년~14년)",3567,40가0300,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010310/AT175677308124595_M.jpg,109032,180,"미니 쿠퍼 S 기본형 2세대 (07년~14년)",기타,2009,"오토허브 경매장",,CC
"르노삼성 SM5 노바 (15년~현재) LPI 택시 렌터카 고급형",3568,22보0787,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010292/AT1756723551258d3_M.jpg,163218,150,"르노삼성 SM5 노바 (15년~현재) LPI 택시 렌터카 고급형",기타,2016,"오토허브 경매장",,BB
"현대 쏘나타 더 브릴리언트 (12년~16년) CVVL 스마트",3569,24머7886,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508290216/AT1756692550882u5_M.jpg,218570,210,"현대 쏘나타 더 브릴리언트 (12년~16년) CVVL 스마트",기타,2014,"오토허브 경매장",,CB
"기아 All New 모닝 (11년~15년) 가솔린 1000cc 럭셔리",3570,12오5545,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508290161/AT1756771701701b5_M.jpg,136124,250,"기아 All New 모닝 (11년~15년) 가솔린 1000cc 럭셔리",검정,2015,"오토허브 경매장",,BC
"기아 올 뉴 K7(16년~현재) 2.4 GDI 프레스티지",3571,15오0509,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508290181/AT175677353168963_M.jpg,201778,550,"기아 올 뉴 K7(16년~현재) 2.4 GDI 프레스티지",검정,2016,"오토허브 경매장",,CB
"기아 스포티지R (10년~13년) 디젤 2WD TLX 고급형",3572,49무4602,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508270011/AT175625653754275_M.jpg,67990,360,"기아 스포티지R (10년~13년) 디젤 2WD TLX 고급형",기타,2011,"오토허브 경매장",,BD
"쉐보레(한국GM) 스파크 (11년~15년) 트랜스포머 에디션",3573,40구2136,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010212/AT17567129915498n_M.jpg,170770,90,"쉐보레(한국GM) 스파크 (11년~15년) 트랜스포머 에디션",검정,2012,"오토허브 경매장",,BC
"현대 아반떼 MD (10년~13년) M16 GDI 프리미어",3574,35거1097,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010221/AT175672472350000_M.jpg,177729,350,"현대 아반떼 MD (10년~13년) M16 GDI 프리미어",흰색,2012,"오토허브 경매장",,BB
"기아 더 뉴 K5 2세대(18년~현재) LPG 2000cc (렌터카용) 프레스티지",3575,212모5791,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010309/AT1756773656656x0_M.jpg,143417,790,"기아 더 뉴 K5 2세대(18년~현재) LPG 2000cc (렌터카용) 프레스티지",흰색,2019,"오토허브 경매장",,BC
"쉐보레(한국GM) 더 뉴 스파크 LS",3576,05수5993,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010307/AT1756771464816ba_M.jpg,107718,450,"쉐보레(한국GM) 더 뉴 스파크 LS",기타,2019,"오토허브 경매장",,AB
"도요타 시에나 3.5 AWD",3577,65마8320,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010203/AT17567128208660t_M.jpg,171328,1170,"도요타 시에나 3.5 AWD",기타,2014,"오토허브 경매장",,BC
"벤츠 GLK-클래스 GLK220 CDI 4Matic",3535,11러4724,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010140/AT17567733454983q_M.jpg,204292,490,"벤츠 GLK-클래스 GLK220 CDI 4Matic",기타,2013,"오토허브 경매장",,BB
"현대 아반떼 HD (06년~10년) 1.6 VVT X16 프리미어",3536,27다4527,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010061/AT17567016023904k_M.jpg,107128,180,"현대 아반떼 HD (06년~10년) 1.6 VVT X16 프리미어",은색,2008,"오토허브 경매장",,BC
"제네시스 G80 (RG3)(20년~현재) 가솔린 4WD 2.5 터보",3537,197호9780,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010188/AT1756710026750l6_M.jpg,47205,3960,"제네시스 G80 (RG3)(20년~현재) 가솔린 4WD 2.5 터보",기타,2022,"오토허브 경매장",,AB
"기아 쏘렌토 4세대 (20년~현재) 가솔린+전기 1600cc (HEV 1.6 2WD) 프레스티지",3538,299다8184,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010296/AT175672387231214_M.jpg,30157,2915,"기아 쏘렌토 4세대 (20년~현재) 가솔린+전기 1600cc (HEV 1.6 2WD) 프레스티지",흰색,2021,"오토허브 경매장",,BB
"현대 그랜져 HG (11년~16년) LPG HG300 장애인용",3539,06거0726,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010312/AT175677293606649_M.jpg,294423,435,"현대 그랜져 HG (11년~16년) LPG HG300 장애인용",기타,2017,"오토허브 경매장",,BD
"기아 카니발 R (10년~14년) 뉴카니발 리무진 프레지던트",3540,64무2996,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508290048/AT1756444071735t9_M.jpg,94364,830,"기아 카니발 R (10년~14년) 뉴카니발 리무진 프레지던트",검정,2011,"오토허브 경매장",,AB
"현대 더뉴 싼타페(20년~현재) 디젤 2.2 4WD 프레스티지",3541,333우2873,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508290237/AT17567730054520u_M.jpg,77421,2750,"현대 더뉴 싼타페(20년~현재) 디젤 2.2 4WD 프레스티지",흰색,2021,"오토허브 경매장",,AB
"BMW 5시리즈 (G30) 가솔린 2WD 530i M 스포츠",3542,231고6308,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010132/AT175670491275609_M.jpg,77311,4490,"BMW 5시리즈 (G30) 가솔린 2WD 530i M 스포츠",흰색,2021,"오토허브 경매장",,AB
"쌍용 렉스턴 스포츠 디젤 2.2 4WD 노블레스",3543,85로2234,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508290059/AT175644257124753_M.jpg,156614,1230,"쌍용 렉스턴 스포츠 디젤 2.2 4WD 노블레스",흰색,2018,"오토허브 경매장",,BB
"기아 K8(21년~현재) 3.5 가솔린 2WD 시그니처",3544,126하9242,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010201/AT1756711376950g0_M.jpg,72443,2360,"기아 K8(21년~현재) 3.5 가솔린 2WD 시그니처",기타,2023,"오토허브 경매장",,BB
"쉐보레(한국GM) 더 넥스트 스파크(15년~현재) 에코 LT 플러스",3545,52보0783,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010118/AT175670330234926_M.jpg,73156,400,"쉐보레(한국GM) 더 넥스트 스파크(15년~현재) 에코 LT 플러스",기타,2016,"오토허브 경매장",,BB
"현대 아반떼 AD (15년~18년) 1.6 GDI 스타일",3546,25두0129,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010222/AT1756719667019t7_M.jpg,166601,420,"현대 아반떼 AD (15년~18년) 1.6 GDI 스타일",은색,2017,"오토허브 경매장",,BC
"현대 포터2 1톤 내장탑 슈퍼캡 CRDI",3547,88무0203,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010143/AT17567072892268d_M.jpg,52285,890,"현대 포터2 1톤 내장탑 슈퍼캡 CRDI",흰색,2020,"오토허브 경매장",,BB
"쌍용 베리 뉴 티볼리 디젤 1600cc 2WD V1",3548,113오8796,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508290136/AT17567250790890x_M.jpg,168413,370,"쌍용 베리 뉴 티볼리 디젤 1600cc 2WD V1",흰색,2020,"오토허브 경매장",,CB
"기아 카니발 4세대(20년~현재) 디젤 2200cc 9인승 하이리무진 시그니처",3549,159호4967,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010223/AT175671254993384_M.jpg,102690,2760,"기아 카니발 4세대(20년~현재) 디젤 2200cc 9인승 하이리무진 시그니처",검정,2023,"오토허브 경매장",,CB
"인피니티 G35 세단 스포츠 V35 (03년~08년)",3550,59모5137,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010168/AT17567086986848t_M.jpg,154153,150,"인피니티 G35 세단 스포츠 V35 (03년~08년)",은색,2007,"오토허브 경매장",,BD
"쉐보레(한국GM) 올란도 (11년~현재) LTZ 프리미엄",3551,13러2968,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202508/IP202508300011/AT175669369119975_M.jpg,148789,210,"쉐보레(한국GM) 올란도 (11년~현재) LTZ 프리미엄",기타,2015,"오토허브 경매장",,AC
"현대 포터2 1톤 내장탑 슈퍼캡 CRDI",3552,94오0190,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202509/IP202509010119/AT175670339699600_M.jpg,102281,820,"현대 포터2 1톤 내장탑 슈퍼캡 CRDI",흰색,2020,"오토허브 경매장",,BB
